SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes,GeoID,Geo,Region
SP11,G2,P18,1/19/2021 0:00,10696,115,428,G2,USA,Americas
SP19,G2,P03,1/19/2021 0:00,4039,436,238,G2,USA,Americas
SP18,G1,P22,1/19/2021 0:00,5250,410,202,G1,India,APAC
SP21,G1,P08,1/19/2021 0:00,8113,25,508,G1,India,APAC
SP08,G6,P06,1/19/2021 0:00,161,95,10,G6,UK,Europe
SP07,G6,P10,1/19/2021 0:00,8218,205,294,G6,UK,Europe
SP06,G5,P15,1/19/2021 0:00,742,80,53,G5,Australia,APAC
SP03,G2,P11,1/19/2021 0:00,3087,193,111,G2,USA,Americas
SP08,G1,P18,1/19/2021 0:00,5110,131,155,G1,India,APAC
SP04,G4,P04,1/19/2021 0:00,5873,164,267,G4,New Zealand,APAC
SP11,G6,P05,1/19/2021 0:00,4641,301,357,G6,UK,Europe
SP04,G4,P22,1/20/2021 0:00,1155,34,45,G4,New Zealand,APAC
SP10,G6,P02,1/20/2021 0:00,784,247,49,G6,UK,Europe
SP25,G4,P05,1/20/2021 0:00,5369,16,384,G4,New Zealand,APAC
SP10,G3,P06,1/20/2021 0:00,343,338,18,G3,Canada,Americas
SP10,G6,P19,1/20/2021 0:00,7007,38,584,G6,UK,Europe
SP15,G1,P15,1/20/2021 0:00,126,127,13,G1,India,APAC
SP16,G1,P08,1/20/2021 0:00,3073,57,134,G1,India,APAC
SP19,G4,P21,1/21/2021 0:00,7805,86,488,G4,New Zealand,APAC
SP09,G6,P11,1/21/2021 0:00,3087,14,124,G6,UK,Europe
SP13,G4,P21,1/21/2021 0:00,9030,85,452,G4,New Zealand,APAC
SP04,G2,P20,1/21/2021 0:00,7805,6,411,G2,USA,Americas
SP18,G1,P11,1/21/2021 0:00,6979,38,233,G1,India,APAC
SP19,G1,P07,1/21/2021 0:00,11284,39,513,G1,India,APAC
SP17,G5,P01,1/21/2021 0:00,2408,106,90,G5,Australia,APAC
SP03,G6,P02,1/21/2021 0:00,5299,86,332,G6,UK,Europe
SP10,G6,P16,1/21/2021 0:00,6293,158,234,G6,UK,Europe
SP08,G5,P03,1/21/2021 0:00,280,408,17,G5,Australia,APAC
SP05,G1,P13,1/21/2021 0:00,644,483,30,G1,India,APAC
SP07,G5,P21,1/21/2021 0:00,2191,65,110,G5,Australia,APAC
SP16,G4,P21,1/21/2021 0:00,427,267,26,G4,New Zealand,APAC
SP14,G3,P20,1/21/2021 0:00,5537,346,426,G3,Canada,Americas
SP18,G5,P08,1/21/2021 0:00,742,264,31,G5,Australia,APAC
SP23,G3,P13,1/21/2021 0:00,4200,457,248,G3,Canada,Americas
SP08,G6,P15,1/21/2021 0:00,5299,203,442,G6,UK,Europe
SP08,G2,P17,1/21/2021 0:00,3829,286,160,G2,USA,Americas
SP20,G4,P18,1/21/2021 0:00,5747,70,192,G4,New Zealand,APAC
SP06,G4,P13,1/21/2021 0:00,2345,199,147,G4,New Zealand,APAC
SP12,G4,P09,1/22/2021 0:00,4312,181,616,G4,New Zealand,APAC
SP25,G4,P13,1/22/2021 0:00,1358,68,68,G4,New Zealand,APAC
SP01,G2,P09,1/22/2021 0:00,13146,85,1644,G2,USA,Americas
SP05,G5,P14,1/22/2021 0:00,12047,295,927,G5,Australia,APAC
SP08,G3,P20,1/22/2021 0:00,5971,44,460,G3,Canada,Americas
SP16,G4,P02,1/22/2021 0:00,3038,280,254,G4,New Zealand,APAC
SP20,G6,P16,1/22/2021 0:00,8022,167,268,G6,UK,Europe
SP16,G3,P15,1/22/2021 0:00,2226,1,248,G3,Canada,Americas
SP10,G3,P17,1/22/2021 0:00,2366,470,79,G3,Canada,Americas
SP24,G5,P02,1/22/2021 0:00,8386,194,599,G5,Australia,APAC
SP03,G3,P16,1/22/2021 0:00,13230,261,576,G3,Canada,Americas
SP17,G6,P03,1/22/2021 0:00,1771,151,111,G6,UK,Europe
SP13,G6,P04,1/22/2021 0:00,3416,458,228,G6,UK,Europe
SP17,G6,P13,1/22/2021 0:00,15197,11,634,G6,UK,Europe
SP08,G4,P15,1/22/2021 0:00,5971,59,498,G4,New Zealand,APAC
SP02,G6,P09,1/22/2021 0:00,13335,227,1667,G6,UK,Europe
SP23,G3,P21,1/22/2021 0:00,4613,54,210,G3,Canada,Americas
SP12,G1,P12,1/22/2021 0:00,10430,110,580,G1,India,APAC
SP20,G2,P03,1/22/2021 0:00,168,94,10,G2,USA,Americas
SP25,G6,P08,1/22/2021 0:00,4606,256,192,G6,UK,Europe
SP11,G6,P14,1/22/2021 0:00,1491,193,136,G6,UK,Europe
SP02,G1,P08,1/25/2021 0:00,12194,302,509,G1,India,APAC
SP12,G6,P04,1/25/2021 0:00,10122,206,533,G6,UK,Europe
SP09,G5,P08,1/25/2021 0:00,1841,164,88,G5,Australia,APAC
SP16,G6,P09,1/25/2021 0:00,6958,337,580,G6,UK,Europe
SP07,G1,P08,1/25/2021 0:00,749,323,35,G1,India,APAC
SP16,G6,P04,1/25/2021 0:00,3507,48,195,G6,UK,Europe
SP17,G4,P15,1/25/2021 0:00,7294,122,562,G4,New Zealand,APAC
SP10,G1,P12,1/25/2021 0:00,5040,219,420,G1,India,APAC
SP10,G1,P16,1/25/2021 0:00,3913,257,157,G1,India,APAC
SP09,G2,P02,1/25/2021 0:00,3598,101,300,G2,USA,Americas
SP19,G2,P10,1/25/2021 0:00,8911,302,319,G2,USA,Americas
SP08,G4,P22,1/25/2021 0:00,42,35,2,G4,New Zealand,APAC
SP13,G1,P21,1/25/2021 0:00,2282,222,109,G1,India,APAC
SP23,G3,P08,1/25/2021 0:00,12964,242,541,G3,Canada,Americas
SP09,G3,P20,1/25/2021 0:00,5775,219,361,G3,Canada,Americas
SP16,G4,P10,1/25/2021 0:00,10787,100,400,G4,New Zealand,APAC
SP20,G5,P21,1/25/2021 0:00,6342,115,374,G5,Australia,APAC
SP14,G1,P22,1/25/2021 0:00,11564,46,463,G1,India,APAC
SP03,G2,P04,1/25/2021 0:00,2793,37,156,G2,USA,Americas
SP18,G3,P19,1/25/2021 0:00,1603,81,134,G3,Canada,Americas
SP06,G5,P03,1/25/2021 0:00,3052,357,180,G5,Australia,APAC
SP12,G3,P21,1/25/2021 0:00,1659,82,83,G3,Canada,Americas
SP01,G4,P05,1/25/2021 0:00,3143,82,210,G4,New Zealand,APAC
SP02,G2,P21,1/25/2021 0:00,12782,212,609,G2,USA,Americas
SP21,G4,P19,1/25/2021 0:00,343,313,32,G4,New Zealand,APAC
SP10,G4,P14,1/25/2021 0:00,1785,216,138,G4,New Zealand,APAC
SP10,G3,P09,1/25/2021 0:00,4914,46,615,G3,Canada,Americas
SP18,G6,P14,1/26/2021 0:00,1869,242,208,G6,UK,Europe
SP04,G1,P10,1/26/2021 0:00,8512,173,387,G1,India,APAC
SP23,G6,P09,1/26/2021 0:00,9296,1,716,G6,UK,Europe
SP20,G5,P07,1/26/2021 0:00,6034,229,263,G5,Australia,APAC
SP22,G1,P11,1/26/2021 0:00,9471,166,365,G1,India,APAC
SP15,G1,P22,1/26/2021 0:00,3815,146,166,G1,India,APAC
SP01,G4,P06,1/26/2021 0:00,9485,140,527,G4,New Zealand,APAC
SP16,G2,P16,1/26/2021 0:00,3549,78,132,G2,USA,Americas
SP04,G6,P09,1/26/2021 0:00,1512,61,117,G6,UK,Europe
SP13,G3,P16,1/26/2021 0:00,2296,113,96,G3,Canada,Americas
SP11,G1,P01,1/27/2021 0:00,17402,43,697,G1,India,APAC
SP15,G6,P12,1/27/2021 0:00,11816,160,844,G6,UK,Europe
SP17,G4,P16,1/27/2021 0:00,10612,232,425,G4,New Zealand,APAC
SP01,G2,P01,1/27/2021 0:00,5558,263,192,G2,USA,Americas
SP21,G6,P04,1/27/2021 0:00,14056,148,781,G6,UK,Europe
SP09,G2,P16,1/27/2021 0:00,5131,171,166,G2,USA,Americas
SP16,G2,P08,1/27/2021 0:00,1477,352,87,G2,USA,Americas
SP06,G5,P04,1/27/2021 0:00,7686,72,549,G5,Australia,APAC
SP23,G6,P13,1/27/2021 0:00,8722,35,460,G6,UK,Europe
SP08,G6,P16,1/27/2021 0:00,6370,35,206,G6,UK,Europe
SP03,G6,P13,1/27/2021 0:00,4074,208,240,G6,UK,Europe
SP24,G4,P11,1/27/2021 0:00,1309,97,51,G4,New Zealand,APAC
SP07,G5,P20,1/27/2021 0:00,4991,137,357,G5,Australia,APAC
SP04,G3,P22,1/27/2021 0:00,6965,91,367,G3,Canada,Americas
SP15,G5,P18,1/27/2021 0:00,10199,497,408,G5,Australia,APAC
SP12,G4,P21,1/27/2021 0:00,7392,9,390,G4,New Zealand,APAC
SP01,G4,P12,1/27/2021 0:00,5880,71,392,G4,New Zealand,APAC
SP04,G2,P11,1/27/2021 0:00,5950,25,238,G2,USA,Americas
SP14,G2,P16,1/27/2021 0:00,10395,57,336,G2,USA,Americas
SP22,G1,P07,1/27/2021 0:00,6174,33,247,G1,India,APAC
SP04,G4,P19,1/27/2021 0:00,15239,170,1524,G4,New Zealand,APAC
SP21,G3,P09,1/27/2021 0:00,2219,145,247,G3,Canada,Americas
SP17,G4,P19,1/27/2021 0:00,3150,70,243,G4,New Zealand,APAC
SP17,G6,P15,1/27/2021 0:00,2968,216,212,G6,UK,Europe
SP02,G3,P05,1/27/2021 0:00,3241,199,163,G3,Canada,Americas
SP15,G3,P07,1/27/2021 0:00,3605,120,151,G3,Canada,Americas
SP20,G3,P08,1/28/2021 0:00,3640,169,174,G3,Canada,Americas
SP11,G3,P08,1/28/2021 0:00,1309,294,77,G3,Canada,Americas
SP13,G1,P06,1/28/2021 0:00,10346,131,739,G1,India,APAC
SP15,G3,P04,1/28/2021 0:00,1071,359,54,G3,Canada,Americas
SP11,G6,P19,1/28/2021 0:00,6328,119,791,G6,UK,Europe
SP07,G3,P11,1/28/2021 0:00,1820,143,68,G3,Canada,Americas
SP09,G1,P21,1/28/2021 0:00,3437,179,157,G1,India,APAC
SP17,G6,P14,1/28/2021 0:00,4550,214,455,G6,UK,Europe
SP01,G3,P07,1/28/2021 0:00,2968,259,110,G3,Canada,Americas
SP14,G2,P06,1/28/2021 0:00,12565,4,898,G2,USA,Americas
SP17,G3,P01,1/28/2021 0:00,8246,294,318,G3,Canada,Americas
SP09,G1,P05,1/28/2021 0:00,1190,137,70,G1,India,APAC
SP24,G4,P06,1/28/2021 0:00,3283,146,183,G4,New Zealand,APAC
SP08,G5,P18,1/28/2021 0:00,3087,300,115,G5,Australia,APAC
SP20,G1,P21,1/28/2021 0:00,6531,244,297,G1,India,APAC
SP16,G2,P14,1/28/2021 0:00,4228,55,249,G2,USA,Americas
SP24,G2,P17,1/28/2021 0:00,10094,118,389,G2,USA,Americas
SP21,G4,P01,1/28/2021 0:00,182,46,6,G4,New Zealand,APAC
SP22,G4,P14,1/28/2021 0:00,616,151,37,G4,New Zealand,APAC
SP24,G2,P20,1/29/2021 0:00,12131,121,809,G2,USA,Americas
SP07,G2,P07,1/29/2021 0:00,2394,323,93,G2,USA,Americas
SP12,G1,P14,1/29/2021 0:00,14287,89,841,G1,India,APAC
SP11,G4,P03,1/29/2021 0:00,10941,185,730,G4,New Zealand,APAC
SP24,G6,P07,1/29/2021 0:00,7777,345,260,G6,UK,Europe
SP06,G3,P09,1/29/2021 0:00,9436,7,858,G3,Canada,Americas
SP07,G3,P12,1/29/2021 0:00,1267,104,116,G3,Canada,Americas
SP07,G2,P11,1/29/2021 0:00,8806,32,327,G2,USA,Americas
SP06,G6,P21,1/29/2021 0:00,3640,403,243,G6,UK,Europe
SP07,G6,P17,1/29/2021 0:00,4900,239,182,G6,UK,Europe
SP18,G5,P14,1/29/2021 0:00,5558,219,348,G5,Australia,APAC
SP25,G4,P03,1/29/2021 0:00,9142,1,436,G4,New Zealand,APAC
SP02,G6,P05,1/29/2021 0:00,3514,143,235,G6,UK,Europe
SP19,G3,P02,1/29/2021 0:00,140,91,10,G3,Canada,Americas
SP15,G6,P10,2/1/2021 0:00,11844,211,439,G6,UK,Europe
SP03,G4,P01,2/1/2021 0:00,6517,54,233,G4,New Zealand,APAC
SP07,G1,P01,2/1/2021 0:00,8715,24,282,G1,India,APAC
SP05,G1,P16,2/1/2021 0:00,4851,455,180,G1,India,APAC
SP01,G2,P16,2/1/2021 0:00,10983,185,379,G2,USA,Americas
SP21,G5,P15,2/1/2021 0:00,3290,75,329,G5,Australia,APAC
SP11,G5,P16,2/1/2021 0:00,6545,86,212,G5,Australia,APAC
SP03,G3,P19,2/1/2021 0:00,441,7,45,G3,Canada,Americas
SP14,G1,P21,2/1/2021 0:00,9849,75,580,G1,India,APAC
SP09,G4,P14,2/1/2021 0:00,3073,9,308,G4,New Zealand,APAC
SP17,G2,P16,2/1/2021 0:00,4452,75,149,G2,USA,Americas
SP12,G3,P13,2/1/2021 0:00,10220,105,538,G3,Canada,Americas
SP09,G6,P19,2/1/2021 0:00,3150,11,210,G6,UK,Europe
SP07,G2,P20,2/1/2021 0:00,6083,43,381,G2,USA,Americas
SP08,G6,P12,2/1/2021 0:00,14063,140,1407,G6,UK,Europe
SP07,G6,P19,2/1/2021 0:00,4578,256,306,G6,UK,Europe
SP19,G1,P14,2/1/2021 0:00,6454,21,461,G1,India,APAC
SP15,G2,P18,2/2/2021 0:00,6650,166,256,G2,USA,Americas
SP01,G1,P22,2/2/2021 0:00,2436,203,94,G1,India,APAC
SP21,G4,P21,2/2/2021 0:00,6944,33,331,G4,New Zealand,APAC
SP05,G1,P11,2/2/2021 0:00,19817,126,684,G1,India,APAC
SP01,G1,P02,2/2/2021 0:00,3521,50,235,G1,India,APAC
SP12,G2,P11,2/2/2021 0:00,10458,546,327,G2,USA,Americas
SP24,G4,P08,2/2/2021 0:00,1302,401,57,G4,New Zealand,APAC
SP10,G5,P11,2/2/2021 0:00,7952,221,249,G5,Australia,APAC
SP13,G5,P06,2/2/2021 0:00,4753,133,265,G5,Australia,APAC
SP11,G1,P13,2/2/2021 0:00,11452,81,546,G1,India,APAC
SP03,G1,P10,2/2/2021 0:00,9345,124,390,G1,India,APAC
SP16,G1,P05,2/2/2021 0:00,7490,172,357,G1,India,APAC
SP25,G1,P16,2/2/2021 0:00,1519,127,57,G1,India,APAC
SP09,G6,P20,2/2/2021 0:00,3087,135,155,G6,UK,Europe
SP06,G6,P20,2/2/2021 0:00,2352,178,168,G6,UK,Europe
SP17,G3,P15,2/2/2021 0:00,11578,76,891,G3,Canada,Americas
SP11,G2,P22,2/2/2021 0:00,462,223,22,G2,USA,Americas
SP24,G1,P17,2/3/2021 0:00,6916,32,315,G1,India,APAC
SP11,G1,P09,2/3/2021 0:00,3248,101,542,G1,India,APAC
SP25,G3,P01,2/3/2021 0:00,6475,431,240,G3,Canada,Americas
SP23,G6,P22,2/3/2021 0:00,9009,129,501,G6,UK,Europe
SP17,G3,P14,2/3/2021 0:00,2835,20,189,G3,Canada,Americas
SP14,G1,P01,2/3/2021 0:00,7644,77,294,G1,India,APAC
SP19,G6,P19,2/3/2021 0:00,3360,48,240,G6,UK,Europe
SP19,G2,P05,2/3/2021 0:00,1379,246,99,G2,USA,Americas
SP22,G2,P16,2/3/2021 0:00,9534,229,382,G2,USA,Americas
SP17,G2,P22,2/3/2021 0:00,14448,28,657,G2,USA,Americas
SP24,G2,P15,2/3/2021 0:00,3829,432,240,G2,USA,Americas
SP03,G4,P09,2/4/2021 0:00,9086,206,758,G4,New Zealand,APAC
SP15,G3,P01,2/4/2021 0:00,5803,299,194,G3,Canada,Americas
SP25,G6,P18,2/4/2021 0:00,182,36,7,G6,UK,Europe
SP18,G6,P13,2/4/2021 0:00,9863,21,520,G6,UK,Europe
SP06,G4,P09,2/4/2021 0:00,4046,80,289,G4,New Zealand,APAC
SP09,G6,P12,2/4/2021 0:00,3493,140,350,G6,UK,Europe
SP13,G3,P03,2/4/2021 0:00,392,89,18,G3,Canada,Americas
SP05,G1,P10,2/4/2021 0:00,2534,19,111,G1,India,APAC
SP22,G6,P13,2/4/2021 0:00,7084,6,308,G6,UK,Europe
SP05,G6,P09,2/4/2021 0:00,4809,70,344,G6,UK,Europe
SP16,G3,P07,2/4/2021 0:00,7959,273,266,G3,Canada,Americas
SP15,G3,P08,2/4/2021 0:00,10521,231,527,G3,Canada,Americas
SP15,G3,P12,2/4/2021 0:00,56,168,5,G3,Canada,Americas
